"genes","tair_symbol","description","log2FoldChange","padj","uniprotswissprot","external_gene_name","external_gene_source","batchcorr","refgroup","logFC_scheible2004","Padj_scheible2004","logFC_nguyen2017","Padj_nguyen2017","notes","qPCR_gene"
"AT5G27420","CNI1","E3 ubiquitin-protein ligase ATL31 [Source:UniProtKB/Swiss-Prot;Acc:Q8LGA5]",1.636058624,0.000697755,"Q8LGA5","ATL31","UniProtKB Gene Name","p","em24",2.06692456675785,1.92143643581972e-08,NA,NA,"",""
"AT1G07135","","At1g07135 [Source:UniProtKB/TrEMBL;Acc:Q9LMK6]",1.664546392,6.42007e-07,"","","","p","em24",NA,NA,NA,NA,"",""
"AT3G46230","ATHSP17.4","17.4 kDa class I heat shock protein [Source:UniProtKB/Swiss-Prot;Acc:P19036]",1.682493526,0.003177619,"P19036","HSP17.4A","UniProtKB Gene Name","r","en2",1.52934886677797,3.94508494624458e-05,0.871,0.045,"",""
"AT5G47230","ERF5","ERF5 [Source:UniProtKB/TrEMBL;Acc:A0A178UKK9]",1.699557764,5.24436e-06,"O80341","ERF5","UniProtKB Gene Name","p","em24",NA,NA,NA,NA,"",""
"AT3G55980","SZF1","Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]",1.734755148,1.98049e-07,"Q93ZS9","SZF1","TAIR Gene Name","p","em24",1.15873747045085,1.51892058423561e-06,NA,NA,"",""
"AT3G55980","SZF1","Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]",1.884617906,0.00962487,"Q93ZS9","SZF1","TAIR Gene Name","p","en24",1.15873747045085,1.51892058423561e-06,NA,NA,"",""
"AT1G80840","WRKY40","Probable WRKY transcription factor 40 [Source:UniProtKB/Swiss-Prot;Acc:Q9SAH7]",1.885607614,0.001051416,"Q9SAH7","WRKY40","UniProtKB Gene Name","p","en6",1.48315536310809,0.00010911391918494,NA,NA,"",""
"AT4G24570","DIC2","DIC2 [Source:UniProtKB/TrEMBL;Acc:A0A178URN9]",1.949921348,0.001051416,"Q9SB52","PUMP4","UniProtKB Gene Name","p","en6",NA,NA,NA,NA,"",""
"AT4G24570","DIC2","DIC2 [Source:UniProtKB/TrEMBL;Acc:A0A178URN9]",2.015290423,0.004584686,"Q9SB52","PUMP4","UniProtKB Gene Name","p","en24",NA,NA,NA,NA,"",""
"AT1G28370","ERF11","ERF domain protein 11 [Source:TAIR;Acc:AT1G28370]",2.113898096,7.75361e-05,"","ERF11","TAIR Gene Name","p","em24",0.596634036384657,0.000316377215850794,NA,NA,"",""
"AT4G24570","DIC2","DIC2 [Source:UniProtKB/TrEMBL;Acc:A0A178URN9]",2.141213749,7.193e-11,"Q9SB52","PUMP4","UniProtKB Gene Name","p","em24",NA,NA,NA,NA,"",""
"AT4G17490","ATERF6","Ethylene-responsive transcription factor 6 [Source:UniProtKB/Swiss-Prot;Acc:Q8VZ91]",2.144845007,0.000287266,"Q8VZ91","ERF6","UniProtKB Gene Name","p","en24",0.524114025208171,0.00348758574212342,NA,NA,"",""
"AT5G12020","HSP17.6II","17.6 kDa class II heat shock protein [Source:UniProtKB/Swiss-Prot;Acc:P29830]",2.174091838,0.009089199,"P29830","HSP17.6","UniProtKB Gene Name","r","en2",NA,NA,NA,NA,"",""
"AT4G17490","ATERF6","Ethylene-responsive transcription factor 6 [Source:UniProtKB/Swiss-Prot;Acc:Q8VZ91]",2.204142362,1.67448e-19,"Q8VZ91","ERF6","UniProtKB Gene Name","p","em24",0.524114025208171,0.00348758574212342,NA,NA,"",""
"AT4G24570","DIC2","DIC2 [Source:UniProtKB/TrEMBL;Acc:A0A178URN9]",2.232502604,0.00022864,"Q9SB52","PUMP4","UniProtKB Gene Name","r","em24",NA,NA,NA,NA,"",""
"AT1G80840","WRKY40","Probable WRKY transcription factor 40 [Source:UniProtKB/Swiss-Prot;Acc:Q9SAH7]",2.276553068,0.000352463,"Q9SAH7","WRKY40","UniProtKB Gene Name","r","em24",1.48315536310809,0.00010911391918494,NA,NA,"",""
"AT3G56400","WRKY70","Probable WRKY transcription factor 70 [Source:UniProtKB/Swiss-Prot;Acc:Q9LY00]",2.461179921,0.029192495,"Q9LY00","WRKY70","UniProtKB Gene Name","p","en24",2.08447516775403,1.41860184811961e-08,NA,NA,"",""
"AT3G48360","BT2","BTB/POZ and TAZ domain-containing protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q94BN0]",2.563155694,0.043840478,"","BT2","UniProtKB Gene Name","p","en24",-4.2783738478957,7.12048911614009e-08,NA,NA,"",""
"AT1G28370","ERF11","ERF domain protein 11 [Source:TAIR;Acc:AT1G28370]",2.581466378,0.024153233,"","ERF11","TAIR Gene Name","p","en24",0.596634036384657,0.000316377215850794,NA,NA,"",""
"AT4G17490","ATERF6","Ethylene-responsive transcription factor 6 [Source:UniProtKB/Swiss-Prot;Acc:Q8VZ91]",2.620264467,3.96472e-06,"Q8VZ91","ERF6","UniProtKB Gene Name","r","em24",0.524114025208171,0.00348758574212342,NA,NA,"",""
"AT3G15500","ATNAC3","NAC3 [Source:UniProtKB/TrEMBL;Acc:A0A178VLD3]",2.817863761,0.0143082,"Q9LDY8","NAC055","UniProtKB Gene Name","r","en6",1.37386098153939,3.51741662307427e-07,NA,NA,"",""
"AT3G15500","ATNAC3","NAC3 [Source:UniProtKB/TrEMBL;Acc:A0A178VLD3]",2.936594493,0.000288105,"Q9LDY8","NAC055","UniProtKB Gene Name","p","en6",1.37386098153939,3.51741662307427e-07,NA,NA,"",""
"AT1G28370","ERF11","ERF domain protein 11 [Source:TAIR;Acc:AT1G28370]",3.183426765,0.045801448,"","ERF11","TAIR Gene Name","r","em24",0.596634036384657,0.000316377215850794,NA,NA,"",""
"AT2G30770","CYP71A13","Indoleacetaldoxime dehydratase [Source:UniProtKB/Swiss-Prot;Acc:O49342]",9.95955939,0.045536749,"O49342","CYP71A13","UniProtKB Gene Name","r","em6",NA,NA,NA,NA,"",""
