"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:2000031","GO:2000031","regulation of salicylic acid mediated signaling pathway","2/524","24/21644",0.11391184499287,0.508083383157683,0.452108095182684,"ATDHAR1/ATMYB44",2
"GO:0009225","GO:0009225","nucleotide-sugar metabolic process","3/524","49/21644",0.115179919487017,0.508083383157683,0.452108095182684,"AtUGP1/CYT1/UGP3",3
"GO:0009407","GO:0009407","toxin catabolic process","3/524","49/21644",0.115179919487017,0.508083383157683,0.452108095182684,"ATGSTF10/ATGSTU19/ATGSTU13",3
"GO:0009646","GO:0009646","response to absence of light","3/524","49/21644",0.115179919487017,0.508083383157683,0.452108095182684,"AtLEA5/ATCAL4/ECIP1",3
"GO:0044403","GO:0044403","symbiotic process","3/524","49/21644",0.115179919487017,0.508083383157683,0.452108095182684,"ATDHAR1/ASU1/ANAC091",3
"GO:0048024","GO:0048024","regulation of mRNA splicing, via spliceosome","3/524","49/21644",0.115179919487017,0.508083383157683,0.452108095182684,"NA/At-SR30/SR45a",3
"GO:0009408","GO:0009408","response to heat","9/524","234/21644",0.116397487311166,0.511859757865253,0.455468428608912,"ATWRKY33/AT-HSFA4A/SCL13/CYT1/AT-HSFB2A/ATMYB44/ABCG36/NA/HIL1",9
"GO:0006397","GO:0006397","mRNA processing","11/524","302/21644",0.117908692479709,0.516900026474514,0.459953413388339,"NA/At-SR30/AFC2/SR45a/ATU2AF65B/BRR2b/ATGRP8/NA/NA/AtSAC3A/NA",11
"GO:0002229","GO:0002229","defense response to oomycetes","4/524","78/21644",0.120634979283731,0.523135863268075,0.465502251213117,"SAG101/CYP79B3/LSU2/LecRK-IV.2",4
"GO:0010648","GO:0010648","negative regulation of cell communication","5/524","108/21644",0.121721469865362,0.523135863268075,0.465502251213117,"AtKFB50/KFB20/KFB01/ATERF-4/EBF2",5
"GO:0023057","GO:0023057","negative regulation of signaling","5/524","108/21644",0.121721469865362,0.523135863268075,0.465502251213117,"AtKFB50/KFB20/KFB01/ATERF-4/EBF2",5
"GO:0010167","GO:0010167","response to nitrate","2/524","25/21644",0.121917256270102,0.523135863268075,0.465502251213117,"ATCLC-A/ATBT2",2
"GO:0032527","GO:0032527","protein exit from endoplasmic reticulum","2/524","25/21644",0.121917256270102,0.523135863268075,0.465502251213117,"MAG5/ATRMA1",2
"GO:0042744","GO:0042744","hydrogen peroxide catabolic process","2/524","25/21644",0.121917256270102,0.523135863268075,0.465502251213117,"ATCAT3/TPX2",2
"GO:0050777","GO:0050777","negative regulation of immune response","2/524","25/21644",0.121917256270102,0.523135863268075,0.465502251213117,"AtGILP/ATCLC-D",2
"GO:0042545","GO:0042545","cell wall modification","7/524","171/21644",0.122373483195544,0.523507106359185,0.465832594641648,"CYP79B3/ATPME3/AtUGP1/AtMYB51/ABCG36/FLS2/NA",7
"GO:0031331","GO:0031331","positive regulation of cellular catabolic process","4/524","79/21644",0.12479153959598,0.530645105309032,0.472184203876681,"ATWRKY33/ATCTH/ARI7/ECT8",4
"GO:0080135","GO:0080135","regulation of cellular response to stress","4/524","79/21644",0.12479153959598,0.530645105309032,0.472184203876681,"AtGILP/ANAC062/AT-SYR1/ATSYP122",4
"GO:0030042","GO:0030042","actin filament depolymerization","2/524","26/21644",0.13005487835194,0.551370382474091,0.490626187794742,"ADF3/ADF9",2
"GO:1901658","GO:1901658","glycosyl compound catabolic process","3/524","52/21644",0.131255404642525,0.553147776707784,0.492207767409469,"UGT76C2/ATGSTU13/ABCG36",3
"GO:1902531","GO:1902531","regulation of intracellular signal transduction","3/524","52/21644",0.131255404642525,0.553147776707784,0.492207767409469,"ARL2/ATERF-4/EBF2",3
"GO:0035966","GO:0035966","response to topologically incorrect protein","4/524","81/21644",0.133283080777909,0.559462990169505,0.497827237015238,"ATBZIP60/ANAC062/NA/ATRMA1",4
"GO:0006073","GO:0006073","cellular glucan metabolic process","8/524","208/21644",0.133544131834246,0.559462990169505,0.497827237015238,"ATISA3/ATPTPKIS1/AtUGP1/RWA1/ATCSLB03/CYT1/RSW10/ATPHS2",8
"GO:0042180","GO:0042180","cellular ketone metabolic process","6/524","143/21644",0.13426882461885,0.560839692213248,0.499052268494839,"CBP60G/NSL1/AtbZIP1/ATH1/XBAT32/CAD1",6
"GO:0006611","GO:0006611","protein export from nucleus","3/524","53/21644",0.136780206290592,0.56441535580236,0.502234003044473,"ATRAN1/ATDSS1(I)/NA",3
"GO:0000460","GO:0000460","maturation of 5.8S rRNA","2/524","27/21644",0.138313650044787,0.56441535580236,0.502234003044473,"EVR1/EVR1L1",2
"GO:0002683","GO:0002683","negative regulation of immune system process","2/524","27/21644",0.138313650044787,0.56441535580236,0.502234003044473,"AtGILP/ATCLC-D",2
"GO:0006730","GO:0006730","one-carbon metabolic process","2/524","27/21644",0.138313650044787,0.56441535580236,0.502234003044473,"ATDFD/EMB3127",2
"GO:0034250","GO:0034250","positive regulation of cellular amide metabolic process","2/524","27/21644",0.138313650044787,0.56441535580236,0.502234003044473,"SVR7/NA",2
"GO:0042168","GO:0042168","heme metabolic process","2/524","27/21644",0.138313650044787,0.56441535580236,0.502234003044473,"hemf2/AtUPM1",2
"GO:0045727","GO:0045727","positive regulation of translation","2/524","27/21644",0.138313650044787,0.56441535580236,0.502234003044473,"SVR7/NA",2
"GO:0046174","GO:0046174","polyol catabolic process","2/524","27/21644",0.138313650044787,0.56441535580236,0.502234003044473,"ATSAL2/NA",2
"GO:0007623","GO:0007623","circadian rhythm","6/524","145/21644",0.14065339929163,0.567928174904146,0.505359816651994,"ATPTPKIS1/ATBT2/RVE1/APRR9/AtTCP21/ARC5",6
"GO:0048511","GO:0048511","rhythmic process","6/524","145/21644",0.14065339929163,0.567928174904146,0.505359816651994,"ATPTPKIS1/ATBT2/RVE1/APRR9/AtTCP21/ARC5",6
"GO:0044264","GO:0044264","cellular polysaccharide metabolic process","10/524","279/21644",0.141529518302632,0.567928174904146,0.505359816651994,"ATISA3/ATBXL1/ATPTPKIS1/AtUGP1/RWA1/ATCSLB03/CYT1/RRT1/RSW10/ATPHS2",10
"GO:0006342","GO:0006342","chromatin silencing","3/524","54/21644",0.142383122945602,0.567928174904146,0.505359816651994,"H2A.Z/h2a.w.7/h2a.w.6",3
"GO:0006413","GO:0006413","translational initiation","3/524","54/21644",0.142383122945602,0.567928174904146,0.505359816651994,"ATEIF3G1/PFL/EIF4A1",3
"GO:0006914","GO:0006914","autophagy","3/524","54/21644",0.142383122945602,0.567928174904146,0.505359816651994,"ATWRKY33/ATVPS34/ATI1",3
"GO:0009694","GO:0009694","jasmonic acid metabolic process","3/524","54/21644",0.142383122945602,0.567928174904146,0.505359816651994,"OPCL1/ATLOX4/ATLOX3",3
"GO:0061919","GO:0061919","process utilizing autophagic mechanism","3/524","54/21644",0.142383122945602,0.567928174904146,0.505359816651994,"ATWRKY33/ATVPS34/ATI1",3
"GO:0009967","GO:0009967","positive regulation of signal transduction","4/524","84/21644",0.146447353544075,0.575694385986066,0.51227042820794,"ANAC062/ATDHAR1/ATEXO70B1/ATMYB44",4
"GO:0010091","GO:0010091","trichome branching","2/524","28/21644",0.146682966393453,0.575694385986066,0.51227042820794,"ATELC/KAK",2
"GO:0043618","GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress","2/524","28/21644",0.146682966393453,0.575694385986066,0.51227042820794,"AT-HSFA4A/AT-HSFB2A",2
"GO:0051788","GO:0051788","response to misfolded protein","2/524","28/21644",0.146682966393453,0.575694385986066,0.51227042820794,"NA/ATRMA1",2
"GO:0044042","GO:0044042","glucan metabolic process","8/524","213/21644",0.146701569409866,0.575694385986066,0.51227042820794,"ATISA3/ATPTPKIS1/AtUGP1/RWA1/ATCSLB03/CYT1/RSW10/ATPHS2",8
"GO:0045229","GO:0045229","external encapsulating structure organization","11/524","316/21644",0.146805576774503,0.575694385986066,0.51227042820794,"CYP79B3/ATPME3/AtUGP1/AtMYB51/EXT6/ABCG36/RRT1/FLS2/NA/NA/ATHRGP1",11
"GO:0006633","GO:0006633","fatty acid biosynthetic process","6/524","147/21644",0.147176107151805,0.575694385986066,0.51227042820794,"AtFAD7/AtNCER3/ATLOX4/KCS8/ATLOX3/ATMYB30",6
"GO:0051606","GO:0051606","detection of stimulus","3/524","55/21644",0.14806112910429,0.57756076807624,0.513931191932247,"H2A.Z/ERF74/FLS2",3
"GO:0023056","GO:0023056","positive regulation of signaling","4/524","85/21644",0.150944072420413,0.587189028976112,0.522498712224506,"ANAC062/ATDHAR1/ATEXO70B1/ATMYB44",4
"GO:0071322","GO:0071322","cellular response to carbohydrate stimulus","3/524","56/21644",0.153811203483817,0.596703189405712,0.530964702437286,"ATBT2/AtbZIP1/AtSOD2",3
"GO:0051240","GO:0051240","positive regulation of multicellular organismal process","5/524","117/21644",0.154640125056889,0.597000464704481,0.531229227067546,"SAG101/ARL2/ATBZIP10/ATGRP-5/AGAL2",5
"GO:0043620","GO:0043620","regulation of DNA-templated transcription in response to stress","2/524","29/21644",0.155152663143537,0.597000464704481,0.531229227067546,"AT-HSFA4A/AT-HSFB2A",2
"GO:0046653","GO:0046653","tetrahydrofolate metabolic process","2/524","29/21644",0.155152663143537,0.597000464704481,0.531229227067546,"NA/EMB3127",2
"GO:0016999","GO:0016999","antibiotic metabolic process","5/524","118/21644",0.158507097599557,0.604046315654384,0.537498840200935,"CBP60G/ATCAT3/NSL1/TPX2/CAD1",5
"GO:0006749","GO:0006749","glutathione metabolic process","3/524","57/21644",0.159630332895043,0.604046315654384,0.537498840200935,"ATGSTF10/ATGSTU19/ATGSTU13",3
"GO:0006885","GO:0006885","regulation of pH","3/524","57/21644",0.159630332895043,0.604046315654384,0.537498840200935,"AHA2/AHA5/ATNHX5",3
"GO:0043484","GO:0043484","regulation of RNA splicing","3/524","57/21644",0.159630332895043,0.604046315654384,0.537498840200935,"NA/At-SR30/SR45a",3
"GO:0050684","GO:0050684","regulation of mRNA processing","3/524","57/21644",0.159630332895043,0.604046315654384,0.537498840200935,"NA/At-SR30/SR45a",3
"GO:0030029","GO:0030029","actin filament-based process","5/524","119/21644",0.162413247844652,0.604046315654384,0.537498840200935,"ADF3/ADF9/ATM2/ATVIIIB/AFH3",5
"GO:0002213","GO:0002213","defense response to insect","2/524","30/21644",0.163713001686441,0.604046315654384,0.537498840200935,"CYP81D11/AtCAF1a",2
"GO:0009084","GO:0009084","glutamine family amino acid biosynthetic process","2/524","30/21644",0.163713001686441,0.604046315654384,0.537498840200935,"NAGK/CARB",2
"GO:0009692","GO:0009692","ethylene metabolic process","2/524","30/21644",0.163713001686441,0.604046315654384,0.537498840200935,"ACS6/XBAT32",2
"GO:0009693","GO:0009693","ethylene biosynthetic process","2/524","30/21644",0.163713001686441,0.604046315654384,0.537498840200935,"ACS6/XBAT32",2
"GO:0042762","GO:0042762","regulation of sulfur metabolic process","2/524","30/21644",0.163713001686441,0.604046315654384,0.537498840200935,"GH3.5/XBAT32",2
"GO:0043449","GO:0043449","cellular alkene metabolic process","2/524","30/21644",0.163713001686441,0.604046315654384,0.537498840200935,"ACS6/XBAT32",2
"GO:0043450","GO:0043450","alkene biosynthetic process","2/524","30/21644",0.163713001686441,0.604046315654384,0.537498840200935,"ACS6/XBAT32",2
"GO:1900673","GO:1900673","olefin metabolic process","2/524","30/21644",0.163713001686441,0.604046315654384,0.537498840200935,"ACS6/XBAT32",2
"GO:1900674","GO:1900674","olefin biosynthetic process","2/524","30/21644",0.163713001686441,0.604046315654384,0.537498840200935,"ACS6/XBAT32",2
"GO:0010647","GO:0010647","positive regulation of cell communication","4/524","88/21644",0.164741297038544,0.604046315654384,0.537498840200935,"ANAC062/ATDHAR1/ATEXO70B1/ATMYB44",4
"GO:0008154","GO:0008154","actin polymerization or depolymerization","3/524","58/21644",0.165515515871399,0.604046315654384,0.537498840200935,"ADF3/ADF9/AFH3",3
"GO:0009736","GO:0009736","cytokinin-activated signaling pathway","3/524","58/21644",0.165515515871399,0.604046315654384,0.537498840200935,"AtKFB50/KFB20/KFB01",3
"GO:0030244","GO:0030244","cellulose biosynthetic process","3/524","58/21644",0.165515515871399,0.604046315654384,0.537498840200935,"ATCSLB03/CYT1/RSW10",3
"GO:0045814","GO:0045814","negative regulation of gene expression, epigenetic","3/524","58/21644",0.165515515871399,0.604046315654384,0.537498840200935,"H2A.Z/h2a.w.7/h2a.w.6",3
"GO:0044272","GO:0044272","sulfur compound biosynthetic process","6/524","153/21644",0.167537119918355,0.609852343970157,0.542665221329377,"ATWRKY33/CYP79B3/GH3.5/AtMYB51/ATSERAT2;2/SQD2",6
"GO:0000271","GO:0000271","polysaccharide biosynthetic process","8/524","222/21644",0.171899901235779,0.622587221258899,0.553997103662579,"GATL9/RWA1/ATCSLB03/CYT1/GATL10/RRT1/RSW10/RRT3",8
"GO:0017004","GO:0017004","cytochrome complex assembly","2/524","31/21644",0.172354654472802,0.622587221258899,0.553997103662579,"AtHIGD2/CCB2",2
"GO:0046189","GO:0046189","phenol-containing compound biosynthetic process","2/524","31/21644",0.172354654472802,0.622587221258899,0.553997103662579,"CBP60G/ATMYBL2",2
"GO:0009812","GO:0009812","flavonoid metabolic process","4/524","90/21644",0.174181604185766,0.625043930702635,0.556183158676073,"NA/CYP711A1/UGT76C2/ATMYBL2",4
"GO:0009411","GO:0009411","response to UV","5/524","122/21644",0.174359006092896,0.625043930702635,0.556183158676073,"AtSOD2/MGE1/ATLPP1/VQ12/ATXPB1",5
"GO:0072593","GO:0072593","reactive oxygen species metabolic process","5/524","122/21644",0.174359006092896,0.625043930702635,0.556183158676073,"ATCAT3/ATVPS34/AtSOD2/TPX2/GNR1",5
"GO:0045732","GO:0045732","positive regulation of protein catabolic process","3/524","60/21644",0.177472115414609,0.634597261179512,0.564684003591939,"ARI7/UPL5/SAMBA",3
"GO:0006098","GO:0006098","pentose-phosphate shunt","2/524","32/21644",0.181068690880568,0.642589639816754,0.571795865938637,"PGL1/RSW10",2
"GO:0009718","GO:0009718","anthocyanin-containing compound biosynthetic process","2/524","32/21644",0.181068690880568,0.642589639816754,0.571795865938637,"NA/ATMYBL2",2
"GO:0043628","GO:0043628","ncRNA 3'-end processing","2/524","32/21644",0.181068690880568,0.642589639816754,0.571795865938637,"EVR1/EVR1L1",2
"GO:0032482","GO:0032482","Rab protein signal transduction","3/524","61/21644",0.183537617112947,0.648102907311552,0.576701739556889,"AtRabE1b/AtRABA1c/ATHSGBP",3
"GO:0034605","GO:0034605","cellular response to heat","3/524","61/21644",0.183537617112947,0.648102907311552,0.576701739556889,"ATWRKY33/AT-HSFA4A/AT-HSFB2A",3
"GO:0034220","GO:0034220","ion transmembrane transport","12/524","368/21644",0.184092743334016,0.648446080997429,0.577007105972288,"NA/ATGPT2/ACA1/AHA2/AtMPC1/ATPT1/NA/NA/FLS2/DIC3/AHA5/ATNHX5",12
"GO:0006839","GO:0006839","mitochondrial transport","4/524","93/21644",0.188677407425314,0.654069912288135,0.582011362629273,"MGE1/AtMPC1/ATTOM22-V/DIC3",4
"GO:0010119","GO:0010119","regulation of stomatal movement","4/524","93/21644",0.188677407425314,0.654069912288135,0.582011362629273,"AT-SYR1/AtRZPF34/AtMPC1/ATEXO70B1",4
"GO:0009743","GO:0009743","response to carbohydrate","6/524","159/21644",0.189005963981338,0.654069912288135,0.582011362629273,"ATBT2/AtATL15/ATGPT2/AtbZIP1/AtSOD2/NA",6
"GO:0019751","GO:0019751","polyol metabolic process","3/524","62/21644",0.189657348353866,0.654069912288135,0.582011362629273,"ATSAL2/AtNCER3/NA",3
"GO:0009687","GO:0009687","abscisic acid metabolic process","2/524","33/21644",0.18984656352431,0.654069912288135,0.582011362629273,"XERICO/ATNCED3",2
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport","2/524","33/21644",0.18984656352431,0.654069912288135,0.582011362629273,"SDH2-2/NA",2
"GO:0043288","GO:0043288","apocarotenoid metabolic process","2/524","33/21644",0.18984656352431,0.654069912288135,0.582011362629273,"XERICO/ATNCED3",2
"GO:0071897","GO:0071897","DNA biosynthetic process","2/524","33/21644",0.18984656352431,0.654069912288135,0.582011362629273,"ATBT2/ATPCNA2",2
"GO:1902644","GO:1902644","tertiary alcohol metabolic process","2/524","33/21644",0.18984656352431,0.654069912288135,0.582011362629273,"XERICO/ATNCED3",2
"GO:0006605","GO:0006605","protein targeting","8/524","229/21644",0.192751671432623,0.662466909583966,0.589483267002681,"BP80-3;1/(AT)SRC2/AT-SYR1/CIA2/ATSYP122/MGE1/ATTOM22-V/ATI1",8
"GO:0071365","GO:0071365","cellular response to auxin stimulus","4/524","94/21644",0.193593126728271,0.663747863068357,0.59062309849303,"ATBT2/RVE1/ATMYB44/ABCG36",4
"GO:0030243","GO:0030243","cellulose metabolic process","3/524","63/21644",0.195828412897799,0.66656979005597,0.593134135219295,"ATCSLB03/CYT1/RSW10",3
"GO:0051168","GO:0051168","nuclear export","3/524","63/21644",0.195828412897799,0.66656979005597,0.593134135219295,"ATRAN1/ATDSS1(I)/NA",3
"GO:0071368","GO:0071368","cellular response to cytokinin stimulus","3/524","63/21644",0.195828412897799,0.66656979005597,0.593134135219295,"AtKFB50/KFB20/KFB01",3
"GO:0006740","GO:0006740","NADPH regeneration","2/524","34/21644",0.198680094992758,0.668110533402766,0.594505135655004,"PGL1/RSW10",2
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","2/524","34/21644",0.198680094992758,0.668110533402766,0.594505135655004,"SDH2-2/NA",2
"GO:0070828","GO:0070828","heterochromatin organization","2/524","34/21644",0.198680094992758,0.668110533402766,0.594505135655004,"h2a.w.7/h2a.w.6",2
"GO:0006576","GO:0006576","cellular biogenic amine metabolic process","3/524","64/21644",0.202047943446908,0.668110533402766,0.594505135655004,"CYP79B3/ATPAO4/ATSDC1",3
"GO:0051094","GO:0051094","positive regulation of developmental process","5/524","129/21644",0.203455276424784,0.668110533402766,0.594505135655004,"SAG101/ARL2/ATBZIP10/ATGRP-5/AGAL2",5
"GO:0045488","GO:0045488","pectin metabolic process","6/524","163/21644",0.203878526920465,0.668110533402766,0.594505135655004,"ATPME3/GATL9/GATL10/RRT1/NA/RRT3",6
"GO:0009851","GO:0009851","auxin biosynthetic process","2/524","35/21644",0.207561465001908,0.668110533402766,0.594505135655004,"CYP79B3/RVE1",2
"GO:0015718","GO:0015718","monocarboxylic acid transport","2/524","35/21644",0.207561465001908,0.668110533402766,0.594505135655004,"ATGPT2/AtMPC1",2
"GO:0016145","GO:0016145","S-glycoside catabolic process","2/524","35/21644",0.207561465001908,0.668110533402766,0.594505135655004,"ATGSTU13/ABCG36",2
"GO:0019759","GO:0019759","glycosinolate catabolic process","2/524","35/21644",0.207561465001908,0.668110533402766,0.594505135655004,"ATGSTU13/ABCG36",2
"GO:0019762","GO:0019762","glucosinolate catabolic process","2/524","35/21644",0.207561465001908,0.668110533402766,0.594505135655004,"ATGSTU13/ABCG36",2
"GO:0010393","GO:0010393","galacturonan metabolic process","6/524","164/21644",0.20766164873373,0.668110533402766,0.594505135655004,"ATPME3/GATL9/GATL10/RRT1/NA/RRT3",6
"GO:0010090","GO:0010090","trichome morphogenesis","3/524","65/21644",0.208313103844346,0.668110533402766,0.594505135655004,"ATELC/SVB/KAK",3
"GO:0006820","GO:0006820","anion transport","10/524","306/21644",0.209678855443039,0.668110533402766,0.594505135655004,"ATCLC-A/ATGPT2/AtMPC1/ALA2/ATPT1/APT1/NA/NA/FLS2/DIC3",10
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process","15/524","490/21644",0.211171852888682,0.668110533402766,0.594505135655004,"CBP60G/AtFAD7/CYP79B3/OPCL1/ATLACS7/AtNCER3/NSL1/ATLOX4/ATMYB3/XERICO/KCS8/CAD1/ATLOX3/ATNCED3/ATMYB30",15
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","11/524","343/21644",0.211689668473075,0.668110533402766,0.594505135655004,"PGL1/NA/AtUGP1/ATPEPC1/NA/RSW10/SDH2-2/SDHAF4/NA/NA/ATPHS2",11
"GO:0009850","GO:0009850","auxin metabolic process","3/524","66/21644",0.214621091105037,0.668110533402766,0.594505135655004,"CYP79B3/RVE1/ILL1",3
"GO:0046164","GO:0046164","alcohol catabolic process","2/524","36/21644",0.216483197951419,0.668110533402766,0.594505135655004,"ATSAL2/NA",2
"GO:0047484","GO:0047484","regulation of response to osmotic stress","2/524","36/21644",0.216483197951419,0.668110533402766,0.594505135655004,"AtMYB20/LSU2",2
"GO:0006120","GO:0006120","mitochondrial electron transport, NADH to ubiquinone","1/524","10/21644",0.217397056784272,0.668110533402766,0.594505135655004,"NA",1
"GO:0008215","GO:0008215","spermine metabolic process","1/524","10/21644",0.217397056784272,0.668110533402766,0.594505135655004,"ATPAO4",1
"GO:0009610","GO:0009610","response to symbiotic fungus","1/524","10/21644",0.217397056784272,0.668110533402766,0.594505135655004,"ATDHAR1",1
"GO:0010117","GO:0010117","photoprotection","1/524","10/21644",0.217397056784272,0.668110533402766,0.594505135655004,"STZ",1
"GO:0010359","GO:0010359","regulation of anion channel activity","1/524","10/21644",0.217397056784272,0.668110533402766,0.594505135655004,"FLS2",1
"GO:0010371","GO:0010371","regulation of gibberellin biosynthetic process","1/524","10/21644",0.217397056784272,0.668110533402766,0.594505135655004,"ATH1",1
"GO:0017157","GO:0017157","regulation of exocytosis","1/524","10/21644",0.217397056784272,0.668110533402766,0.594505135655004,"AtRabE1b",1
"GO:0032351","GO:0032351","negative regulation of hormone metabolic process","1/524","10/21644",0.217397056784272,0.668110533402766,0.594505135655004,"XBAT32",1
"GO:0034311","GO:0034311","diol metabolic process","1/524","10/21644",0.217397056784272,0.668110533402766,0.594505135655004,"AtNCER3",1
"GO:0034312","GO:0034312","diol biosynthetic process","1/524","10/21644",0.217397056784272,0.668110533402766,0.594505135655004,"AtNCER3",1
"GO:0051222","GO:0051222","positive regulation of protein transport","1/524","10/21644",0.217397056784272,0.668110533402766,0.594505135655004,"MAG5",1
"GO:0070301","GO:0070301","cellular response to hydrogen peroxide","1/524","10/21644",0.217397056784272,0.668110533402766,0.594505135655004,"ATDHAR1",1
"GO:0070370","GO:0070370","cellular heat acclimation","1/524","10/21644",0.217397056784272,0.668110533402766,0.594505135655004,"ATWRKY33",1
"GO:0071324","GO:0071324","cellular response to disaccharide stimulus","1/524","10/21644",0.217397056784272,0.668110533402766,0.594505135655004,"AtSOD2",1
"GO:0090316","GO:0090316","positive regulation of intracellular protein transport","1/524","10/21644",0.217397056784272,0.668110533402766,0.594505135655004,"MAG5",1
"GO:0090548","GO:0090548","response to nitrate starvation","1/524","10/21644",0.217397056784272,0.668110533402766,0.594505135655004,"NA",1
"GO:1903320","GO:1903320","regulation of protein modification by small protein conjugation or removal","1/524","10/21644",0.217397056784272,0.668110533402766,0.594505135655004,"OTLD1",1
"GO:1904951","GO:1904951","positive regulation of establishment of protein localization","1/524","10/21644",0.217397056784272,0.668110533402766,0.594505135655004,"MAG5",1
"GO:2000278","GO:2000278","regulation of DNA biosynthetic process","1/524","10/21644",0.217397056784272,0.668110533402766,0.594505135655004,"ATBT2",1
"GO:0034976","GO:0034976","response to endoplasmic reticulum stress","4/524","99/21644",0.218736262258839,0.668110533402766,0.594505135655004,"ATBZIP60/ANAC062/NA/ATRMA1",4
"GO:0015849","GO:0015849","organic acid transport","5/524","133/21644",0.220765063092288,0.668110533402766,0.594505135655004,"ATGPT2/AtMPC1/NA/NA/DIC3",5
"GO:0046942","GO:0046942","carboxylic acid transport","5/524","133/21644",0.220765063092288,0.668110533402766,0.594505135655004,"ATGPT2/AtMPC1/NA/NA/DIC3",5
"GO:0043543","GO:0043543","protein acylation","5/524","134/21644",0.225161654576662,0.668110533402766,0.594505135655004,"AKINBETA1/ARFA1D/ARF1/NA/OTLD1",5
"GO:0000038","GO:0000038","very long-chain fatty acid metabolic process","2/524","37/21644",0.22543815087235,0.668110533402766,0.594505135655004,"KCS8/ATMYB30",2
"GO:0030041","GO:0030041","actin filament polymerization","2/524","37/21644",0.22543815087235,0.668110533402766,0.594505135655004,"ADF9/AFH3",2
"GO:0046700","GO:0046700","heterocycle catabolic process","7/524","204/21644",0.22628200376455,0.668110533402766,0.594505135655004,"CYP79B3/ATCTH/ASU1/AtCAF1a/ATGSTU13/ABCG36/ECT8",7
"GO:0044550","GO:0044550","secondary metabolite biosynthetic process","6/524","169/21644",0.226938754593125,0.668110533402766,0.594505135655004,"ATWRKY33/CYP79B3/GH3.5/AtMYB51/ATMYB3/ATMYBL2",6
"GO:0006779","GO:0006779","porphyrin-containing compound biosynthetic process","3/524","68/21644",0.227354511203085,0.668110533402766,0.594505135655004,"ATGLK1/hemf2/AtUPM1",3
"GO:0006897","GO:0006897","endocytosis","3/524","69/21644",0.23377452000369,0.668110533402766,0.594505135655004,"ATVPS34/FLS2/AtCHC2",3
"GO:0007265","GO:0007265","Ras protein signal transduction","3/524","69/21644",0.23377452000369,0.668110533402766,0.594505135655004,"AtRabE1b/AtRABA1c/ATHSGBP",3
"GO:0007015","GO:0007015","actin filament organization","4/524","102/21644",0.234222697414099,0.668110533402766,0.594505135655004,"ADF3/ADF9/ATVIIIB/AFH3",4
"GO:0002832","GO:0002832","negative regulation of response to biotic stimulus","2/524","38/21644",0.234419501754651,0.668110533402766,0.594505135655004,"AtGILP/ATCLC-D",2
"GO:0030968","GO:0030968","endoplasmic reticulum unfolded protein response","2/524","38/21644",0.234419501754651,0.668110533402766,0.594505135655004,"ATBZIP60/ANAC062",2
"GO:0031334","GO:0031334","positive regulation of protein-containing complex assembly","2/524","38/21644",0.234419501754651,0.668110533402766,0.594505135655004,"NA/AFH3",2
"GO:0032102","GO:0032102","negative regulation of response to external stimulus","2/524","38/21644",0.234419501754651,0.668110533402766,0.594505135655004,"AtGILP/ATCLC-D",2
"GO:0051246","GO:0051246","regulation of protein metabolic process","13/524","426/21644",0.235224752990565,0.668110533402766,0.594505135655004,"NA/SVR7/ATCTH/ANK1/ARI7/NA/AtCAF1a/UPL5/ECT8/NA/OTLD1/NA/SAMBA",13
"GO:0008272","GO:0008272","sulfate transport","1/524","11/21644",0.236352587072016,0.668110533402766,0.594505135655004,"DIC3",1
"GO:0009095","GO:0009095","aromatic amino acid family biosynthetic process, prephenate pathway","1/524","11/21644",0.236352587072016,0.668110533402766,0.594505135655004,"ADT2",1
"GO:0009423","GO:0009423","chorismate biosynthetic process","1/524","11/21644",0.236352587072016,0.668110533402766,0.594505135655004,"NA",1
"GO:0010190","GO:0010190","cytochrome b6f complex assembly","1/524","11/21644",0.236352587072016,0.668110533402766,0.594505135655004,"CCB2",1
"GO:0010275","GO:0010275","NAD(P)H dehydrogenase complex assembly","1/524","11/21644",0.236352587072016,0.668110533402766,0.594505135655004,"NA",1
"GO:0032388","GO:0032388","positive regulation of intracellular transport","1/524","11/21644",0.236352587072016,0.668110533402766,0.594505135655004,"MAG5",1
"GO:0035065","GO:0035065","regulation of histone acetylation","1/524","11/21644",0.236352587072016,0.668110533402766,0.594505135655004,"OTLD1",1
"GO:0043171","GO:0043171","peptide catabolic process","1/524","11/21644",0.236352587072016,0.668110533402766,0.594505135655004,"NA",1
"GO:0046131","GO:0046131","pyrimidine ribonucleoside metabolic process","1/524","11/21644",0.236352587072016,0.668110533402766,0.594505135655004,"RSW10",1
"GO:0046520","GO:0046520","sphingoid biosynthetic process","1/524","11/21644",0.236352587072016,0.668110533402766,0.594505135655004,"AtNCER3",1
"GO:0048317","GO:0048317","seed morphogenesis","1/524","11/21644",0.236352587072016,0.668110533402766,0.594505135655004,"ASU1",1
"GO:0048640","GO:0048640","negative regulation of developmental growth","1/524","11/21644",0.236352587072016,0.668110533402766,0.594505135655004,"SAMBA",1
