Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
AT2G19580,Chr2,8472134,8475153,-,3020,153,164
AT2G19582,Chr2,8474446,8475221,+,776,101,117
AT2G19590,Chr2,8475966,8477502,-,1537,483,481
AT2G19600,Chr2,8479198,8483830,+,4633,311,324
AT2G19610,Chr2,8483940,8486086,+,2147,16,8
AT2G19620,Chr2,8485991,8488720,-,2730,237,204
AT2G19630,Chr2,8490181,8491110,-,930,0,0
AT2G19640,Chr2,8491388,8492920,+,1533,301,286
AT2G19650,Chr2,8493475,8495823,-,2349,346,353
AT2G19660,Chr2,8496720,8498708,-,1989,29,42
AT2G19670,Chr2,8499086,8501181,-,2096,760,800
AT2G19680,Chr2,8501325,8502831,+,1507,1478,1474
AT2G19690,Chr2,8503217,8504821,+,1605,44,57
AT2G19700,Chr2,8504967,8505639,-,673,1,0
AT2G19710,Chr2,8506130,8510081,+,3952,258,251
AT2G19720,Chr2,8510020,8511339,-,1320,113,102
AT2G19730,Chr2,8511507,8513221,+,1715,8575,8819
AT2G19740,Chr2,8513513,8514519,+,1007,1456,1502
AT2G19750,Chr2,8514954,8516138,+,1185,2082,2029
AT2G19760,Chr2,8516787,8518167,-,1381,863,832
AT2G19770,Chr2,8519638,8521192,-,1555,0,0
AT2G19780,Chr2,8522678,8525093,-,2416,66,56
AT2G19790,Chr2,8527231,8528533,+,1303,977,927
AT2G19796,Chr2,8529916,8530187,-,272,0,0
AT2G19800,Chr2,8530896,8533508,-,2613,559,552
AT2G19802,Chr2,8538776,8539217,-,442,1,0
AT2G19810,Chr2,8550313,8551858,+,1546,38,49
AT2G19820,Chr2,8553543,8554040,-,498,0,0
AT2G19830,Chr2,8557729,8559741,-,2013,880,777
AT2G19850,Chr2,8568569,8569890,+,1322,1,1
AT2G19860,Chr2,8570750,8574000,+,3251,376,380
AT2G19870,Chr2,8575878,8577947,+,2070,567,595
AT2G19880,Chr2,8581358,8585478,+,4121,1054,1003
AT2G19890,Chr2,8587244,8589637,+,2394,1,1
AT2G19893,Chr2,8589953,8590324,+,372,0,0
AT2G19900,Chr2,8591899,8595478,-,3580,16,29
AT2G19910,Chr2,8595820,8600757,-,4938,43,28
AT2G19920,Chr2,8602222,8606887,-,4666,40,32
AT2G19930,Chr2,8607340,8612441,-,5102,83,71
AT2G19940,Chr2,8612926,8616018,+,3093,785,879
AT2G19950,Chr2,8616073,8621435,-,5363,438,471
AT2G19960,Chr2,8622215,8622736,+,522,0,0
AT2G19970,Chr2,8623730,8624476,-,747,55,55
AT2G19980,Chr2,8627699,8628220,-,522,3,2
AT2G19990,Chr2,8629984,8630688,-,705,36,35
AT2G20000,Chr2,8632078,8637300,-,5223,456,503
AT2G20010,Chr2,8637747,8641556,-,3810,262,266
AT2G20020,Chr2,8644386,8647191,+,2806,548,579
AT2G20030,Chr2,8647813,8648985,+,1173,23,23
AT2G20050,Chr2,8649434,8654450,-,5017,830,908
AT2G20060,Chr2,8659043,8661489,+,2447,1289,1426
AT2G20070,Chr2,8662038,8662614,+,577,0,0
AT2G20080,Chr2,8662930,8665026,-,2097,28,19
AT2G20100,Chr2,8678050,8682112,+,4063,60,53
AT2G20110,Chr2,8684496,8687218,+,2723,121,112
AT2G20120,Chr2,8687354,8689476,-,2123,485,517
AT2G20130,Chr2,8690368,8692420,-,2053,283,295
AT2G20140,Chr2,8692700,8695084,+,2385,822,813
AT2G20142,Chr2,8695374,8696643,+,1270,28,37
AT2G20150,Chr2,8697300,8699299,+,2000,0,0
AT2G20160,Chr2,8699672,8700124,-,453,0,0
AT2G20170,Chr2,8701013,8704357,+,3345,148,122
AT2G20180,Chr2,8704024,8706900,-,2877,396,423
AT2G20190,Chr2,8711596,8719018,-,7423,695,761
AT2G20208,Chr2,8720790,8721423,+,634,0,0
AT2G20210,Chr2,8721437,8725127,-,3691,146,149
AT2G20230,Chr2,8725541,8727742,+,2202,1672,1661
AT2G20240,Chr2,8727626,8730500,-,2875,151,152
AT2G20250,Chr2,8733750,8736577,-,2828,106,97
AT2G20260,Chr2,8736734,8737767,+,1034,6394,6692
AT2G20270,Chr2,8737705,8739677,-,1973,1201,1225
AT2G20280,Chr2,8739911,8742349,-,2439,974,972
AT2G20290,Chr2,8743275,8751878,-,8604,168,158
AT2G20300,Chr2,8755925,8760222,-,4298,543,552
AT2G20310,Chr2,8761180,8763152,-,1973,240,252
AT2G20320,Chr2,8766739,8772591,+,5853,126,128
AT2G20330,Chr2,8772687,8775614,-,2928,772,798
AT2G20340,Chr2,8779735,8782772,+,3038,79,95
AT2G20350,Chr2,8784769,8785396,+,628,0,0
AT2G20360,Chr2,8785988,8789473,+,3486,4287,4194
AT2G20362,Chr2,8789740,8790358,+,619,44,39
AT2G20370,Chr2,8791986,8794401,+,2416,614,651
AT2G20380,Chr2,8794818,8795980,-,1163,0,0
AT2G20390,Chr2,8796283,8798218,-,1936,342,316
AT2G20400,Chr2,8799187,8801973,+,2787,102,95
AT2G20410,Chr2,8802344,8804373,+,2030,73,83
AT2G20420,Chr2,8805453,8808120,+,2668,2019,1841
AT2G20430,Chr2,8808667,8810200,-,1534,0,0
AT2G20440,Chr2,8810739,8813644,-,2906,92,102
AT2G20450,Chr2,8813862,8815253,+,1392,1976,1924
AT2G20453,Chr2,8815590,8815793,+,204,0,0
AT2G20463,Chr2,8823733,8824122,-,390,0,0
AT2G20465,Chr2,8825053,8825544,-,492,1,0
AT2G20470,Chr2,8826277,8829497,-,3221,4,4
AT2G20480,Chr2,8830565,8831533,-,969,23,21
AT2G20490,Chr2,8831716,8832916,+,1201,2610,2483
AT2G20495,Chr2,8833165,8835263,+,2099,160,169
AT2G20500,Chr2,8835120,8836044,-,925,91,77
AT2G20510,Chr2,8836018,8838598,-,2581,5,4
AT2G20515,Chr2,8838854,8839700,-,847,169,151
AT2G20520,Chr2,8840663,8841461,+,799,140,122
AT2G20530,Chr2,8841972,8844000,+,2029,1178,1254
AT2G20540,Chr2,8844160,8845764,+,1605,24,30
AT2G20550,Chr2,8845802,8847311,-,1510,47,52
AT2G20560,Chr2,8848130,8850010,-,1881,215,238
AT2G20562,Chr2,8850207,8850929,-,723,157,132
AT2G20570,Chr2,8855358,8857756,+,2399,3367,3673
AT2G20580,Chr2,8858988,8864865,+,5878,2626,2536
AT2G20585,Chr2,8865098,8866769,+,1672,741,749
AT2G20590,Chr2,8867117,8869256,-,2140,108,94
AT2G20595,Chr2,8871551,8872061,-,511,0,0
AT2G20597,Chr2,8873060,8873484,+,425,0,0
AT2G20605,Chr2,8876490,8876732,+,243,0,0
AT2G20610,Chr2,8877960,8880388,-,2429,2101,2209
AT2G20613,Chr2,8886037,8886444,-,408,0,0
AT2G20616,Chr2,8887116,8888305,-,1190,0,0
AT2G20618,Chr2,8888933,8889178,+,246,0,0
AT2G20619,Chr2,8891191,8891391,+,201,0,0
AT2G20620,Chr2,8891929,8893244,-,1316,0,0
AT2G20625,Chr2,8896154,8897218,-,1065,10,3
AT2G20630,Chr2,8896912,8899898,-,2987,884,943
AT2G20635,Chr2,8900410,8903384,+,2975,106,102
AT2G20650,Chr2,8903637,8907339,-,3703,177,170
AT2G20660,Chr2,8909467,8909772,+,306,0,0
AT2G20670,Chr2,8911860,8913534,-,1675,763,817
AT2G20680,Chr2,8920467,8923173,+,2707,198,206
AT2G20690,Chr2,8923305,8924974,+,1670,950,1015
AT2G20700,Chr2,8924894,8925804,-,911,33,27
AT2G20710,Chr2,8926006,8927844,+,1839,170,174
AT2G20720,Chr2,8927822,8930112,-,2291,200,211
AT2G20721,Chr2,8931565,8931655,-,91,31,28
AT2G20722,Chr2,8931708,8931782,-,75,32,28
AT2G20723,Chr2,8931849,8931922,-,74,26,22
AT2G20725,Chr2,8933571,8935496,-,1926,819,847
AT2G20740,Chr2,8935607,8937512,+,1906,265,234
AT2G20750,Chr2,8941119,8942689,+,1571,140,150
AT2G20760,Chr2,8942763,8945244,-,2482,2087,2188
AT2G20770,Chr2,8945318,8947310,+,1993,55,75
AT2G20780,Chr2,8947242,8949413,-,2172,519,484
AT2G20784,Chr2,8949621,8949776,+,156,0,0
AT2G20790,Chr2,8949928,8952744,-,2817,472,519
AT2G20800,Chr2,8953252,8955761,-,2510,135,141
AT2G20805,Chr2,8956169,8956737,+,569,0,0
AT2G20810,Chr2,8957793,8959780,+,1988,610,636
AT2G20815,Chr2,8959255,8962001,+,2747,443,465
AT2G20820,Chr2,8964349,8965430,+,1082,3673,3910
AT2G20825,Chr2,8965756,8966867,-,1112,4,3
AT2G20830,Chr2,8968209,8970727,-,2519,803,866
AT2G20835,Chr2,8970886,8971303,-,418,48,45
AT2G20840,Chr2,8971712,8974485,-,2774,434,389
AT2G20850,Chr2,8975348,8979379,-,4032,613,629
AT2G20860,Chr2,8979579,8981226,+,1648,1867,1709
AT2G20870,Chr2,8981988,8982712,-,725,15,22
AT2G20875,Chr2,8983074,8983612,-,539,154,148
AT2G20880,Chr2,8985973,8987263,+,1291,1,2
AT2G20890,Chr2,8987666,8989416,+,1751,6796,6515
AT2G20900,Chr2,8989275,8993114,-,3840,654,730
AT2G20920,Chr2,8998686,8999932,+,1247,1184,1150
AT2G20921,Chr2,9000025,9000228,-,204,0,0
AT2G20930,Chr2,9000616,9001737,-,1122,495,515
AT2G20940,Chr2,9002032,9002701,-,670,365,367
AT2G20950,Chr2,9003135,9005938,+,2804,478,441
AT2G20960,Chr2,9006648,9009763,+,3116,904,907
AT2G20970,Chr2,9009867,9011067,+,1201,1,0
AT2G20980,Chr2,9011389,9013931,-,2543,126,134
AT2G20990,Chr2,9014552,9018097,+,3546,3729,3869
AT2G21010,Chr2,9020944,9021870,+,927,2,4
AT2G21030,Chr2,9024536,9025578,-,1043,4,5
AT2G21040,Chr2,9026157,9027310,+,1154,2,1
AT2G21045,Chr2,9027852,9029020,+,1169,272,293
AT2G21050,Chr2,9034090,9036636,+,2547,660,670
AT2G21060,Chr2,9036793,9037650,-,858,743,777
AT2G21070,Chr2,9040852,9043626,+,2775,162,176
AT2G21080,Chr2,9043699,9045389,+,1691,218,237
AT2G21090,Chr2,9045516,9047579,-,2064,248,264
AT2G21100,Chr2,9048131,9049404,-,1274,86,76
AT2G21110,Chr2,9050290,9050850,-,561,0,0
AT2G21120,Chr2,9051748,9054613,-,2866,408,377
AT2G21130,Chr2,9055398,9056232,-,835,150,143
AT2G21140,Chr2,9060625,9062091,-,1467,2120,1916
AT2G21150,Chr2,9065338,9068093,+,2756,399,387
AT2G21160,Chr2,9068318,9070431,+,2114,3123,3101
AT2G21170,Chr2,9070754,9073233,-,2480,6388,6589
AT2G21180,Chr2,9074660,9075380,-,721,122,101
AT2G21185,Chr2,9076437,9077048,-,612,229,236
AT2G21187,Chr2,9076292,9077468,+,1177,233,237
AT2G21188,Chr2,9079042,9079538,-,497,47,49
AT2G21190,Chr2,9080865,9082904,+,2040,715,737
AT2G21195,Chr2,9083165,9083909,+,745,111,110
AT2G21200,Chr2,9083906,9084375,-,470,23,15
AT2G21210,Chr2,9085210,9085909,-,700,1347,1425
AT2G21220,Chr2,9089326,9089813,+,488,14,12
AT2G21230,Chr2,9093624,9096347,-,2724,290,268
AT2G21235,Chr2,9096592,9098767,-,2176,1,1
AT2G21237,Chr2,9100536,9101215,-,680,0,1
AT2G21240,Chr2,9101313,9103050,-,1738,492,512
AT2G21250,Chr2,9103181,9105187,-,2007,1883,1932
AT2G21260,Chr2,9105583,9107380,-,1798,5,7
AT2G21270,Chr2,9107546,9110261,+,2716,1156,1304
AT2G21280,Chr2,9110313,9112707,-,2395,841,864
AT2G21290,Chr2,9112856,9113330,+,475,639,636
AT2G21300,Chr2,9114154,9119946,-,5793,788,842
AT2G21320,Chr2,9126263,9127843,+,1581,192,186
AT2G21330,Chr2,9128147,9130240,-,2094,16790,17790
AT2G21340,Chr2,9132555,9136459,+,3905,945,954
AT2G21350,Chr2,9136451,9137267,-,817,68,62
AT2G21360,Chr2,9137356,9137427,+,72,1,1
AT2G21370,Chr2,9137454,9140081,-,2628,466,483
AT2G21380,Chr2,9141631,9149309,+,7679,756,749
AT2G21385,Chr2,9149639,9151913,+,2275,1084,1042
AT2G21390,Chr2,9152006,9156878,+,4873,2725,2747
AT2G21400,Chr2,9158390,9159701,+,1312,9,10
AT2G21410,Chr2,9162620,9168452,+,5833,761,726
AT2G21420,Chr2,9169713,9171746,+,2034,0,0
AT2G21430,Chr2,9171885,9173339,-,1455,68,112
AT2G21440,Chr2,9173560,9179166,-,5607,779,896
AT2G21450,Chr2,9179410,9182356,-,2947,14,6
AT2G21465,Chr2,9195596,9195926,-,331,0,0
AT2G21470,Chr2,9198569,9202487,+,3919,499,554
AT2G21480,Chr2,9202753,9205368,-,2616,1,0
AT2G21490,Chr2,9206016,9207125,-,1110,0,2
AT2G21500,Chr2,9207549,9210231,-,2683,192,214
AT2G21510,Chr2,9210655,9213058,-,2404,21,13
AT2G21520,Chr2,9215519,9219208,+,3690,1295,1397
AT2G21530,Chr2,9219324,9220590,+,1267,1276,1320
AT2G21540,Chr2,9220549,9224496,-,3948,162,204
AT2G21550,Chr2,9227209,9230189,+,2981,33,50
AT2G21560,Chr2,9230268,9231508,-,1241,173,170
AT2G21570,Chr2,9234240,9234276,-,37,0,0
AT2G21580,Chr2,9236523,9237811,+,1289,6229,6197
AT2G21590,Chr2,9238482,9242440,+,3959,88,80
AT2G21600,Chr2,9242801,9244833,+,2033,1340,1255
AT2G21610,Chr2,9245161,9247025,-,1865,6,4
AT2G21620,Chr2,9248573,9250256,+,1684,1231,1199
AT2G21630,Chr2,9250323,9253915,+,3593,137,157
AT2G21640,Chr2,9254459,9255625,+,1167,528,541
AT2G21650,Chr2,9259583,9260656,+,1074,34,58
AT2G21655,Chr2,9263537,9264098,+,562,0,0
AT2G21660,Chr2,9265249,9266393,-,1145,10209,10950
AT2G21670,Chr2,9266809,9266889,-,81,0,0
AT2G21680,Chr2,9267730,9269019,+,1290,0,0
AT2G21690,Chr2,9270114,9270597,-,484,0,0
AT2G21700,Chr2,9270663,9270734,-,72,0,0
AT2G21710,Chr2,9270886,9273418,+,2533,116,116
AT2G21720,Chr2,9273696,9276802,+,3107,2,1
AT2G21725,Chr2,9277659,9278072,+,414,0,0
AT2G21727,Chr2,9278597,9279052,-,456,0,0
AT2G21730,Chr2,9280044,9281623,+,1580,6,7
AT2G21740,Chr2,9281986,9282363,-,378,1,1
AT2G21750,Chr2,9283367,9283744,-,378,0,0
AT2G21760,Chr2,9284034,9284105,+,72,0,0
AT2G21770,Chr2,9284837,9289536,+,4700,10,13
AT2G21780,Chr2,9291036,9291669,+,634,0,0
AT2G21790,Chr2,9293270,9297842,+,4573,1300,1333
AT2G21800,Chr2,9298154,9301926,+,3773,32,40
AT2G21810,Chr2,9302254,9302640,+,387,0,0
AT2G21820,Chr2,9302885,9303247,-,363,2,3
AT2G21830,Chr2,9303713,9305897,+,2185,126,138
AT2G21840,Chr2,9307060,9310058,-,2999,77,80
AT2G21850,Chr2,9315218,9318238,+,3021,188,218
AT2G21860,Chr2,9318258,9320002,-,1745,1207,1192
AT2G21870,Chr2,9320195,9322734,-,2540,4196,4121
AT2G21880,Chr2,9324633,9326321,-,1689,68,59
AT2G21890,Chr2,9331089,9332646,+,1558,3,4
AT2G21900,Chr2,9334149,9336222,-,2074,1,0
AT2G21910,Chr2,9341498,9343030,+,1533,0,0
AT2G21920,Chr2,9343410,9347159,-,3750,0,1
AT2G21930,Chr2,9347641,9349128,-,1488,2,0
AT2G21940,Chr2,9350543,9353231,+,2689,280,265
AT2G21950,Chr2,9353174,9354645,-,1472,483,535
AT2G21960,Chr2,9354842,9357091,+,2250,1511,1616
AT2G21970,Chr2,9356983,9357916,-,934,1067,1060
AT2G21980,Chr2,9358882,9359061,-,180,0,0
AT2G21990,Chr2,9359356,9360664,-,1309,2,2
AT2G22000,Chr2,9362312,9363203,+,892,42,50
AT2G22010,Chr2,9363109,9369461,-,6353,376,313
AT2G22030,Chr2,9372530,9373681,+,1152,0,0
AT2G22040,Chr2,9374438,9376260,-,1823,0,0
AT2G22050,Chr2,9376684,9377862,+,1179,0,0
AT2G22055,Chr2,9379578,9379817,+,240,0,0
AT2G22060,Chr2,9380992,9382145,+,1154,0,2
AT2G22070,Chr2,9383602,9386064,+,2463,18,12
AT2G22080,Chr2,9386516,9388183,+,1668,854,827
AT2G22088,Chr2,9388384,9389049,+,666,79,82
AT2G22090,Chr2,9388260,9390507,-,2248,217,227
AT2G22100,Chr2,9392210,9393562,-,1353,266,257
AT2G22110,Chr2,9393670,9393743,+,74,0,0
AT2G22120,Chr2,9393823,9397022,+,3200,196,210
AT2G22121,Chr2,9397864,9398259,+,396,0,0
AT2G22122,Chr2,9403264,9403808,+,545,31,29
AT2G22125,Chr2,9406263,9414518,+,8256,1376,1418
AT2G22140,Chr2,9414839,9418668,-,3830,48,54
AT2G22145,Chr2,9420320,9420589,+,270,0,0
AT2G22155,Chr2,9423869,9424174,+,306,0,0
AT2G22160,Chr2,9425143,9425460,-,318,0,1
AT2G22170,Chr2,9426849,9427817,-,969,3967,4203
AT2G22180,Chr2,9428743,9429844,+,1102,3,1
AT2G22190,Chr2,9433765,9436544,-,2780,89,91
AT2G22200,Chr2,9443128,9444423,-,1296,17,30
AT2G22201,Chr2,9444537,9444719,+,183,0,0
AT2G22220,Chr2,9449809,9449882,-,74,0,0
AT2G22230,Chr2,9449984,9451622,+,1639,1220,1185
AT2G22240,Chr2,9451605,9454094,-,2490,229,216
AT2G22241,Chr2,9454244,9454399,+,156,0,0
AT2G22250,Chr2,9457810,9460919,-,3110,504,467
AT2G22260,Chr2,9461125,9463192,+,2068,56,59
AT2G22270,Chr2,9463694,9465467,+,1774,158,168
AT2G22280,Chr2,9465581,9465653,-,73,0,0
AT2G22290,Chr2,9466444,9467688,+,1245,10,6
AT2G22300,Chr2,9471325,9476646,+,5322,335,340
AT2G22310,Chr2,9476578,9478959,-,2382,150,95
AT2G22320,Chr2,9480105,9480440,+,336,0,0
AT2G22330,Chr2,9488554,9491187,+,2634,1174,1220
AT2G22340,Chr2,9492879,9493955,-,1077,0,0
AT2G22345,Chr2,9495457,9495848,+,392,0,0
AT2G22360,Chr2,9497595,9500615,+,3021,649,672
AT2G22370,Chr2,9500815,9502190,-,1376,178,162
AT2G22380,Chr2,9502280,9502353,+,74,0,0
AT2G22400,Chr2,9504659,9508875,-,4217,1115,1222
AT2G22410,Chr2,9509017,9511231,+,2215,42,55
AT2G22420,Chr2,9513219,9514535,+,1317,98,94
AT2G22425,Chr2,9514936,9515535,+,600,934,938
AT2G22426,Chr2,9517017,9517229,+,213,0,0
AT2G22430,Chr2,9526095,9527830,-,1736,3368,3296
AT2G22440,Chr2,9528910,9529917,+,1008,0,0
AT2G22450,Chr2,9530547,9532914,+,2368,172,159
AT2G22460,Chr2,9533094,9534119,-,1026,2,2
AT2G22470,Chr2,9538197,9538879,-,683,1823,1723
AT2G22475,Chr2,9541401,9545010,+,3610,337,345
AT2G22480,Chr2,9545547,9548566,+,3020,453,425
AT2G22482,Chr2,9549649,9550084,-,436,19,36
AT2G22490,Chr2,9553803,9556145,-,2343,481,495
AT2G22496,Chr2,9560761,9560923,+,163,2,2
AT2G22500,Chr2,9563224,9564751,-,1528,275,211
AT2G22510,Chr2,9569026,9569758,-,733,210,131
AT2G22520,Chr2,9572066,9572791,+,726,0,0
AT2G22530,Chr2,9572796,9577441,-,4646,279,219
AT2G22540,Chr2,9579874,9583893,+,4020,982,937
AT2G22560,Chr2,9585883,9588838,+,2956,99,103
AT2G22570,Chr2,9589435,9590879,-,1445,110,112
AT2G22580,Chr2,9591027,9591099,+,73,1,0
AT2G22590,Chr2,9592996,9594535,+,1540,61,70
AT2G22600,Chr2,9596617,9599050,+,2434,12,15
AT2G22610,Chr2,9599550,9604776,+,5227,190,210
AT2G22620,Chr2,9604772,9610595,-,5824,32,17
AT2G22630,Chr2,9618372,9621957,+,3586,8,10
AT2G22640,Chr2,9623068,9624218,+,1151,91,100
AT2G22650,Chr2,9624586,9626969,-,2384,196,213
AT2G22660,Chr2,9627408,9631081,+,3674,1648,1648
AT2G22668,Chr2,9634957,9635113,-,157,0,0
AT2G22670,Chr2,9636380,9638745,+,2366,1890,1812
AT2G22680,Chr2,9645313,9647613,+,2301,158,137
AT2G22690,Chr2,9649690,9651439,-,1750,129,143
AT2G22720,Chr2,9657344,9660776,+,3433,706,724
AT2G22730,Chr2,9660964,9664133,+,3170,46,30
AT2G22740,Chr2,9662638,9666981,-,4344,267,296
AT2G22750,Chr2,9672144,9673928,+,1785,0,1
AT2G22760,Chr2,9677880,9679364,+,1485,0,0
AT2G22770,Chr2,9684725,9686595,+,1871,221,211
AT2G22780,Chr2,9689415,9692154,-,2740,1055,1083
AT2G22790,Chr2,9695932,9696909,+,978,29,30
AT2G22795,Chr2,9697233,9699897,-,2665,2613,2980
AT2G22800,Chr2,9704706,9706150,-,1445,71,67
AT2G22802,Chr2,9708750,9708848,-,99,0,0
AT2G22805,Chr2,9712291,9713001,+,711,0,0
AT2G22807,Chr2,9715085,9715983,+,899,0,0
AT2G22810,Chr2,9717791,9719472,-,1682,4,7
AT2G22820,Chr2,9721231,9721425,-,195,0,1
AT2G22821,Chr2,9721236,9721937,+,702,0,2
AT2G22830,Chr2,9723680,9726270,-,2591,151,148
AT2G22840,Chr2,9728756,9731301,+,2546,569,599
AT2G22850,Chr2,9731279,9733400,-,2122,47,50
AT2G22860,Chr2,9737607,9738298,+,692,51,40
AT2G22870,Chr2,9739457,9741104,+,1648,374,362
AT2G22880,Chr2,9741119,9741463,-,345,23,30
AT2G22890,Chr2,9742393,9743347,-,955,62,55
AT2G22900,Chr2,9744225,9746292,-,2068,208,208
AT2G22905,Chr2,9748771,9749542,+,772,3,4
AT2G22910,Chr2,9749869,9752863,+,2995,275,238
AT2G22920,Chr2,9753631,9757600,+,3970,113,110
AT2G22930,Chr2,9759673,9761163,+,1491,51,47
AT2G22940,Chr2,9761655,9763462,-,1808,0,0
AT2G22941,Chr2,9762105,9762443,+,339,0,0
AT2G22942,Chr2,9763814,9764563,-,750,0,0
AT2G22950,Chr2,9766127,9769766,+,3640,3,1
AT2G22955,Chr2,9770700,9771553,-,854,1,0
AT2G22960,Chr2,9770894,9772932,+,2039,1,0
AT2G22970,Chr2,9774853,9778528,+,3676,192,213
AT2G22980,Chr2,9778877,9783251,+,4375,101,91
AT2G22990,Chr2,9786316,9790179,+,3864,3203,3435
AT2G23000,Chr2,9792212,9795863,+,3652,208,217
AT2G23010,Chr2,9798843,9802674,+,3832,47,52
AT2G23020,Chr2,9803217,9803288,-,72,0,0
AT2G23030,Chr2,9803492,9806700,-,3209,22,15
AT2G23040,Chr2,9807893,9809209,-,1317,12,14
AT2G23050,Chr2,9810657,9812660,+,2004,182,205
AT2G23060,Chr2,9812771,9814724,-,1954,13,20
AT2G23067,Chr2,9822005,9822148,+,144,0,0
AT2G23070,Chr2,9823965,9826898,-,2934,2107,2116
AT2G23080,Chr2,9827113,9829537,+,2425,540,464
AT2G23090,Chr2,9829450,9830410,-,961,2293,2144
AT2G23093,Chr2,9832123,9834739,+,2617,74,50
AT2G23096,Chr2,9834766,9836235,-,1470,2,2
AT2G23100,Chr2,9837120,9839736,-,2617,102,136
AT2G23110,Chr2,9840456,9841366,+,911,5,4
AT2G23118,Chr2,9841882,9842025,-,144,4,5
AT2G23120,Chr2,9842043,9842634,+,592,5584,5989
AT2G23130,Chr2,9844299,9845385,+,1087,1069,1093
AT2G23140,Chr2,9845486,9849264,-,3779,349,360
AT2G23142,Chr2,9850176,9850619,+,444,0,0
AT2G23148,Chr2,9853618,9854156,+,539,0,0
AT2G23149,Chr2,9855857,9855964,+,108,0,0
AT2G23150,Chr2,9856192,9858574,-,2383,368,343
AT2G23160,Chr2,9862470,9863744,+,1275,0,0
AT2G23170,Chr2,9863855,9866562,-,2708,371,396
AT2G23171,Chr2,9866619,9866792,-,174,0,0
AT2G23180,Chr2,9874907,9876594,+,1688,31,27
AT2G23190,Chr2,9877058,9879007,+,1950,2,2
AT2G23200,Chr2,9879276,9881908,+,2633,235,248
AT2G23210,Chr2,9882007,9883397,-,1391,0,0
AT2G23220,Chr2,9884550,9886752,+,2203,1,1
AT2G23230,Chr2,9892716,9895400,+,2685,0,0
AT2G23240,Chr2,9895855,9896325,-,471,1,0
AT2G23250,Chr2,9897809,9899125,-,1317,0,0
AT2G23260,Chr2,9899927,9901439,-,1513,0,0
AT2G23270,Chr2,9903215,9903845,+,631,0,0
AT2G23290,Chr2,9904787,9905920,-,1134,310,324
AT2G23300,Chr2,9914608,9917130,+,2523,120,128
AT2G23310,Chr2,9917520,9919258,+,1739,888,850
AT2G23320,Chr2,9924933,9926372,+,1440,706,748
AT2G23321,Chr2,9926378,9926518,+,141,1,0
AT2G23340,Chr2,9937998,9938875,+,878,238,238
AT2G23347,Chr2,9942193,9942293,-,101,4,6
AT2G23348,Chr2,9941189,9942814,-,1626,21,16
AT2G23350,Chr2,9943053,9946269,+,3217,4701,4522
AT2G23360,Chr2,9948903,9952845,+,3943,182,191
AT2G23370,Chr2,9952867,9955091,-,2225,250,282
AT2G23380,Chr2,9955553,9960359,+,4807,441,402
AT2G23390,Chr2,9960372,9963623,-,3252,719,712
AT2G23400,Chr2,9963978,9965229,-,1252,4,2
AT2G23410,Chr2,9966130,9967772,-,1643,15,15
AT2G23420,Chr2,9971701,9975192,+,3492,408,438
AT2G23430,Chr2,9976746,9978021,-,1276,102,101
AT2G23440,Chr2,9979405,9979819,+,415,0,0
AT2G23450,Chr2,9988754,9991695,-,2942,512,515
AT2G23460,Chr2,9995478,9999122,+,3645,527,542
AT2G23470,Chr2,9998982,10001509,-,2528,127,116
AT2G23510,Chr2,10011517,10013533,-,2017,0,1
AT2G23520,Chr2,10013991,10016943,-,2953,325,322
AT2G23530,Chr2,10020652,10022864,-,2213,52,48
AT2G23540,Chr2,10024346,10026233,+,1888,116,102
AT2G23550,Chr2,10027586,10028777,-,1192,8,4
AT2G23560,Chr2,10029275,10030382,-,1108,102,99
AT2G23570,Chr2,10031713,10032753,-,1041,0,0
AT2G23580,Chr2,10033043,10034327,-,1285,0,0
AT2G23590,Chr2,10034607,10036000,-,1394,51,27
AT2G23600,Chr2,10042199,10043673,-,1475,2146,2131
AT2G23610,Chr2,10044179,10046532,-,2354,698,654
AT2G23620,Chr2,10047379,10049291,-,1913,76,73
AT2G23630,Chr2,10052566,10055317,-,2752,117,122
AT2G23640,Chr2,10057554,10059108,+,1555,0,1
AT2G23650,Chr2,10059446,10059517,-,72,0,0
AT2G23660,Chr2,10060130,10061822,-,1693,1,1
AT2G23670,Chr2,10063155,10063863,-,709,1779,1780
AT2G23672,Chr2,10063245,10064004,+,760,1779,1780
AT2G23680,Chr2,10066163,10067455,+,1293,107,106
AT2G23690,Chr2,10072233,10073126,+,894,126,99
AT2G23700,Chr2,10076369,10080232,-,3864,114,138
AT2G23740,Chr2,10097559,10103398,+,5840,564,552
AT2G23755,Chr2,10102787,10104029,-,1243,309,316
AT2G23760,Chr2,10107709,10113213,-,5505,386,411
AT2G23770,Chr2,10120242,10122080,-,1839,104,80
AT2G23780,Chr2,10123306,10124636,-,1331,380,396
AT2G23790,Chr2,10125368,10127521,-,2154,441,397
AT2G23800,Chr2,10131489,10132779,-,1291,0,0
AT2G23810,Chr2,10135605,10137561,-,1957,385,389
AT2G23820,Chr2,10140527,10142899,+,2373,571,571
AT2G23830,Chr2,10143646,10144511,+,866,1,1
AT2G23834,Chr2,10148666,10149134,+,469,0,0
AT2G23840,Chr2,10153797,10155647,-,1851,341,413
AT2G23890,Chr2,10170601,10173927,+,3327,312,344
